videoId,title,description,tags,clean_text,keywords,category,category_confidence,viewCount,likeCount,commentCount,engagement_rate,avg_views,avg_likes,avg_comments,avg_engagement_rate
38162,Trendy Brown Hairstyle ll Men&#39;s Unique Hairstyle ll #shorts,no description,[],trendy brown hairstyle ll men #39 s unique hairstyle ll #shorts no description,men,Men's Fashion & Style,0.5059822,1106,8,0,0.0072332730560578,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
68289,Unique Men&#39;s Hairstyle ll Vysucceed Salon ll #shorts,no description,[],unique men #39 s hairstyle ll vysucceed salon ll #shorts no description,men,Men's Fashion & Style,0.5059822,38,1,0,0.0263157894736842,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
84849,beautiful hair styles for wedding or reception party,no description,[],beautiful hair styles for wedding or reception party no description,styles,Men's Fashion & Style,0.5955484,4678,378,3,0.0814450619923044,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
74604,NEW LATEST 🌟 INDIAN HAIR STYLE 2021 Fantastic Looks LOOK LIKE YOUNGEST BOYS BY LOOKSFAMILYSALOON,"Hello Youtube Family...▶ Hope You All Well !

In this Channel you Can Watch Tutorial of 
     ⤵        ⤵           ⤵              
Haircut, Beard, face waxing, Facial Treatment, Hair Mask and Hairstyle. Hope you enjoyed ! 


If you like the video, then like, subscribe and share it and keep watching to see similar stylish videos #Looksfamilysaloon


Hit the thumbs up 👍 button to show your support! ♥️

Subscribe and turn on the notification bell 🔔 to see more new videos in the future.
Subscribe ⇨#looksfamilysalooon​



Love You Gys🥰💕😘

( Subscribe/Share Comment/ Like)  Hey guys find below we've compiled the most beautiful and popular beard styles for men, all of these beard styles ( inspired by Hairstyles by Naushad Khan)   check out Beard styles for men India & new beard styles 2021 video, featuring medium fade hairstyle along with full beard styles for men black hair. you will see INDIA beard styles for round face with how-to beard line up styles for enhance jawline and medium fade haircut tutorial.









Like
Share
Subscribe



keep Support ❤️

Love You All 💕🤗",[],new latest indian hair style 2021 fantastic looks look like youngest boys by looksfamilysaloon hello youtube family hope you all well in this channel you can watch tutorial of haircut beard face waxing facial treatment hair mask and hairstyle hope you enjoyed if you like the video then like subscribe and share it and keep watching to see similar stylish videos #looksfamilysaloon hit the thumbs up button to show your support subscribe and turn on the notification bell to see more new videos in the future subscribe #looksfamilysalooon love you gys subscribe share comment like hey guys find below we ve compiled the most beautiful and popular beard styles for men all of these beard styles inspired by hairstyles by naushad khan check out beard styles for men india new beard styles 2021 video featuring medium fade hairstyle along with full beard styles for men black hair you will see india beard styles for round face with how to beard line up styles for enhance jawline and medium fade haircut tutorial like share subscribe keep support love you all,beard styles,Men's Fashion & Style,0.6059515,703,41,0,0.0583214793741109,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
74604,NEW LATEST 🌟 INDIAN HAIR STYLE 2021 Fantastic Looks LOOK LIKE YOUNGEST BOYS BY LOOKSFAMILYSALOON,"Hello Youtube Family...▶ Hope You All Well !

In this Channel you Can Watch Tutorial of 
     ⤵        ⤵           ⤵              
Haircut, Beard, face waxing, Facial Treatment, Hair Mask and Hairstyle. Hope you enjoyed ! 


If you like the video, then like, subscribe and share it and keep watching to see similar stylish videos #Looksfamilysaloon


Hit the thumbs up 👍 button to show your support! ♥️

Subscribe and turn on the notification bell 🔔 to see more new videos in the future.
Subscribe ⇨#looksfamilysalooon​



Love You Gys🥰💕😘

( Subscribe/Share Comment/ Like)  Hey guys find below we've compiled the most beautiful and popular beard styles for men, all of these beard styles ( inspired by Hairstyles by Naushad Khan)   check out Beard styles for men India & new beard styles 2021 video, featuring medium fade hairstyle along with full beard styles for men black hair. you will see INDIA beard styles for round face with how-to beard line up styles for enhance jawline and medium fade haircut tutorial.









Like
Share
Subscribe



keep Support ❤️

Love You All 💕🤗",[],new latest indian hair style 2021 fantastic looks look like youngest boys by looksfamilysaloon hello youtube family hope you all well in this channel you can watch tutorial of haircut beard face waxing facial treatment hair mask and hairstyle hope you enjoyed if you like the video then like subscribe and share it and keep watching to see similar stylish videos #looksfamilysaloon hit the thumbs up button to show your support subscribe and turn on the notification bell to see more new videos in the future subscribe #looksfamilysalooon love you gys subscribe share comment like hey guys find below we ve compiled the most beautiful and popular beard styles for men all of these beard styles inspired by hairstyles by naushad khan check out beard styles for men india new beard styles 2021 video featuring medium fade hairstyle along with full beard styles for men black hair you will see india beard styles for round face with how to beard line up styles for enhance jawline and medium fade haircut tutorial like share subscribe keep support love you all,men,Men's Fashion & Style,0.5059822,703,41,0,0.0583214793741109,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
74604,NEW LATEST 🌟 INDIAN HAIR STYLE 2021 Fantastic Looks LOOK LIKE YOUNGEST BOYS BY LOOKSFAMILYSALOON,"Hello Youtube Family...▶ Hope You All Well !

In this Channel you Can Watch Tutorial of 
     ⤵        ⤵           ⤵              
Haircut, Beard, face waxing, Facial Treatment, Hair Mask and Hairstyle. Hope you enjoyed ! 


If you like the video, then like, subscribe and share it and keep watching to see similar stylish videos #Looksfamilysaloon


Hit the thumbs up 👍 button to show your support! ♥️

Subscribe and turn on the notification bell 🔔 to see more new videos in the future.
Subscribe ⇨#looksfamilysalooon​



Love You Gys🥰💕😘

( Subscribe/Share Comment/ Like)  Hey guys find below we've compiled the most beautiful and popular beard styles for men, all of these beard styles ( inspired by Hairstyles by Naushad Khan)   check out Beard styles for men India & new beard styles 2021 video, featuring medium fade hairstyle along with full beard styles for men black hair. you will see INDIA beard styles for round face with how-to beard line up styles for enhance jawline and medium fade haircut tutorial.









Like
Share
Subscribe



keep Support ❤️

Love You All 💕🤗",[],new latest indian hair style 2021 fantastic looks look like youngest boys by looksfamilysaloon hello youtube family hope you all well in this channel you can watch tutorial of haircut beard face waxing facial treatment hair mask and hairstyle hope you enjoyed if you like the video then like subscribe and share it and keep watching to see similar stylish videos #looksfamilysaloon hit the thumbs up button to show your support subscribe and turn on the notification bell to see more new videos in the future subscribe #looksfamilysalooon love you gys subscribe share comment like hey guys find below we ve compiled the most beautiful and popular beard styles for men all of these beard styles inspired by hairstyles by naushad khan check out beard styles for men india new beard styles 2021 video featuring medium fade hairstyle along with full beard styles for men black hair you will see india beard styles for round face with how to beard line up styles for enhance jawline and medium fade haircut tutorial like share subscribe keep support love you all,styles,Men's Fashion & Style,0.5955484,703,41,0,0.0583214793741109,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
32028,6 IMPORTANT Grooming Tips For GIRLS To Look ATTRACTIVE!,"Hi girls! Here are a few basic but VERY IMPORTANT grooming tips that every woman should include in her daily grooming routines!

Find the product links below:

𝐏𝐞𝐫𝐟𝐮𝐦𝐞/𝐁𝐨𝐝𝐲 𝐒𝐩𝐫𝐚𝐲𝐬:
Nykaa Body Mist- https://bit.ly/3fexoBd
Body Shop Body MIst - https://amzn.to/3w0rcCO
Deodrant Stick - https://amzn.to/39cR6tE

𝐏𝐥𝐮𝐦 𝐕𝐞𝐠𝐚𝐧 𝐋𝐢𝐩 𝐁𝐚𝐥𝐦𝐬:
Website link: https://bit.ly/2OFEynz
Amazon link: http://amzn.to/3cNwDwf
Use my coupon code “LBISHITA10” to avail 10% OFF on all the lip Balms on Plum’s website.

Tired of dry chapped lips? These vegan lip balms are here to give you soft, plumpy &
moisturized lips! Enriched with the goodness of cocoa butter & shea butter, it helps to
hydrate, nourish & also protect your lips from UV rays, much-needed summer essential!

You can also earn reward points by sending in your Plum empties! Check their
Empties4Good initiative on this link! Good for you, Good for the Planet!
https://plumgoodness.com/pages/recycle

𝐁𝐨𝐝𝐲 𝐋𝐨𝐭𝐢𝐨𝐧
Body Shop - https://amzn.to/3clmY0Z
Vaseline - https://amzn.to/3tRJF2D

𝐁𝐨𝐝𝐲 𝐒𝐜𝐫𝐮𝐛 - https://bit.ly/2TZ6pxY

𝐇𝐚𝐢𝐫 𝐒𝐞𝐫𝐮𝐦 - http://bit.ly/azserumishita

𝐍𝐚𝐢𝐥 𝐏𝐚𝐢𝐧𝐭 - https://bit.ly/39dHlLo

𝐀𝐜𝐜𝐞𝐬𝐬𝐨𝐫𝐢𝐞𝐬:

Dainty Pendants
Rose Gold White: https://dw.social/GWGaM6QRI​ 
Silver: https://dw.social/2XvzACK6Z​ 

Watch
Iconic Link Watch 32MM Rose Gold White: https://dw.social/lTDBCXAJ0​ 
Ashfield Watch 32MM Rose Gold: https://dw.social/DSvn_OBcn​ 

Golden Hoops 
https://bit.ly/2MZRLpK​
https://bit.ly/3pVdz4x

0:00 Introduction
1:09 Good Body Odour
1:58 Moisturise Your Full Body
2:56 Say NO To Chapped Lips
4:51 Signature Accessory
5:25 Frizz Free Hair
6:15 Well Maintained Nails
7:05 Conclusion

*THIS VIDEO IS SPONSORED BY PLUM GOODNESS*

Shot by - Deepak Kumar Kushwaha, Digital Shivam Studio

If you like my content, please do subscribe to my channel!

Facebook Page - www.facebook.com/ishita1793
Get in touch - ishita.khanna@hotmail.com

****************************************************************

* I DO NOT HOLD THE RIGHTS TO ANY MUSIC USED IN THE VIDEO.*

Music - Audio Library

*There is no copyright infringement intended for the song or any third-party content used/featured in the video. If there are any issues please contact me - ishita.khanna@hotmail.com.*

-Ishita Khanna","['ishita khanna', 'ishita khanna house tour', 'ishita khanna haul', 'ishita khanna myntra haul', 'grooming tips for girls', 'grooming tips for women', 'grooming tips for women in tamil', 'grooming tips for teenage girl', 'plum lip balm', 'how to look attractive', 'tips to look attractive', 'tips to look stylish', 'best body lotion for dry skin', 'body shop butter', 'best lip balm', 'daniel wellington watch', 'best body mist for women', 'how to look put together', 'how to look good', 'ishita khanna skin care']",6 important grooming tips for girls to look attractive hi girls here are a few basic but very important grooming tips that every woman should include in her daily grooming routines find the product links below nykaa body mist body shop body mist deodrant stick website link amazon link use my coupon code lbishita10 to avail 10 off on all the lip balms on plum s website tired of dry chapped lips these vegan lip balms are here to give you soft plumpy moisturized lips enriched with the goodness of cocoa butter shea butter it helps to hydrate nourish also protect your lips from uv rays much needed summer essential you can also earn reward points by sending in your plum empties check their empties4good initiative on this link good for you good for the planet body shop vaseline dainty pendants rose gold white silver watch iconic link watch 32mm rose gold white ashfield watch 32mm rose gold golden hoops 0 00 introduction 1 09 good body odour 1 58 moisturise your full body 2 56 say no to chapped lips 4 51 signature accessory 5 25 frizz free hair 6 15 well maintained nails 7 05 conclusion this video is sponsored by plum goodness shot by deepak kumar kushwaha digital shivam studio if you like my content please do subscribe to my channel facebook page get in touch i do not hold the rights to any music used in the video music audio library there is no copyright infringement intended for the song or any third party content used featured in the video if there are any issues please contact me ishita khanna ishita khanna ishita khanna house tour ishita khanna haul ishita khanna myntra haul grooming tips for girls grooming tips for women grooming tips for women in tamil grooming tips for teenage girl plum lip balm how to look attractive tips to look attractive tips to look stylish best body lotion for dry skin body shop butter best lip balm daniel wellington watch best body mist for women how to look put together how to look good ishita khanna skin care,men,Men's Fashion & Style,0.5059822,594715,24729,643,0.0426624517626089,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
33212,best opan hair style 👍👍,"#hairstylesforgirls
#hairstyleforgirls
#hairstylegirl
#hairstyle
#hairstyleforshorthair
#hairstyleforbeginners
#hairstyles
#braidstyles
#hairideas
#hairstyles_for_girls
#HairMakeOver
#bridalhairstyle
#weddinghairstyles
#hairgrowth
#hairstylesexperts","['best hair style', 'hair style', 'girl hair style', 'open hair style']",best opan hair style #hairstylesforgirls #hairstyleforgirls #hairstylegirl #hairstyle #hairstyleforshorthair #hairstyleforbeginners #hairstyles #braidstyles #hairideas #hairstyles for girls #hairmakeover #bridalhairstyle #weddinghairstyles #hairgrowth #hairstylesexperts best hair style hair style girl hair style open hair style,men,Men's Fashion & Style,0.5059822,488,10,0,0.0204918032786885,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
11384,best hair style for girl 👍👍,"#hairstylesforgirls
#hairstyleforgirls
#hairstylegirl
#hairstyle
#hairstyleforshorthair
#hairstyleforbeginners
#hairstyles
#braidstyles
#hairideas
#hairstyles_for_girls
#HairMakeOver
#bridalhairstyle
#weddinghairstyles
#hairgrowth
#hairstylesexperts","['best hair style', 'hair style', 'open hair style', 'girl hair style']",best hair style for girl #hairstylesforgirls #hairstyleforgirls #hairstylegirl #hairstyle #hairstyleforshorthair #hairstyleforbeginners #hairstyles #braidstyles #hairideas #hairstyles for girls #hairmakeover #bridalhairstyle #weddinghairstyles #hairgrowth #hairstylesexperts best hair style hair style open hair style girl hair style,men,Men's Fashion & Style,0.5059822,2071,24,0,0.0115886045388701,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
57686,Mounir Mens Hair Coloring Transformation | Beautiful Hair Balayage for Men&#39;s #shorts,"Mounir Mens Hair Coloring Transformation | Beautiful Hair Balayage for Men's 

#shorts #shortsvideo #youtubeshorts","['peaches Makeup', 'mounir salon', 'mounir salon Hairstyles', 'mounir salon hair Transformation', 'mounir salon hair Balayage', ""men's hair Transformation"", ""Men's hair Transformation by mounir"", '#shorts', '#shortsvideo']",mounir mens hair coloring transformation beautiful hair balayage for men #39 s #shorts mounir mens hair coloring transformation beautiful hair balayage for men s #shorts #shortsvideo #youtubeshorts peaches makeup mounir salon mounir salon hairstyles mounir salon hair transformation mounir salon hair balayage men s hair transformation men s hair transformation by mounir #shorts #shortsvideo,men,Men's Fashion & Style,0.5059822,27730,931,27,0.0345474215650919,170248.6647398844,6198.18408181414,84.2032014228546,0.037020545445521275
