keyword,velocity,engagement_rate,phase
antiaging facemassage,1.9999999999999996,0.05824106366123269,Growing
antiaging faceyoga,-0.5000000000000002,0.04652901813762764,Peaking
benefits facial,3.9999999999999987,0.009518922243335799,Emerging
body exfoliant,0.4999999999999998,0.0230549089883594,Emerging
care routine,-4.000000000000002,0.05743917683824601,Peaking
collagen mask,0.5000000000000003,0.02463123196288261,Emerging
exercises,2.499999999999994,0.03659872494451382,Growing
exercises women,-0.4999999999999997,0.026782939089772233,Peaking
eye massage,-7.0000000000000036,0.030611774126017774,Peaking
face massage,2.999999999999999,0.012473717249812166,Emerging
face wash cowok,-5.0,0.005620642936062561,Decaying
face yoga,-7.9999999999999885,0.031202449645764272,Peaking
facebrightening skincare viral,1.9999999999999991,0.022714125039226617,Emerging
facefrosting bronzer,-3.000000000000001,0.00732369539885633,Decaying
faceglow facebrightening skincare,3.9999999999999982,0.022714125039226617,Emerging
facelift,-5.500000000000003,0.02687618906307467,Peaking
facelift shorts,-3.9999999999999982,0.013956093493692054,Decaying
facial balancing,2.999999999999999,0.00976380794329852,Emerging
facial care,2.5000000000000004,0.09950881999145651,Growing
facial care men,2.5000000000000004,0.09950881999145651,Growing
facial exercises,-5.500000000000002,0.03274439618443255,Peaking
facial kit,-0.5000000000000006,0.042335729616689244,Peaking
facial muscles,-3.5,0.020299706348802002,Decaying
facial muscles youthful,-3.5,0.020299706348802002,Decaying
facial toners balance,-92.50000000000001,0.018412272409432568,Decaying
firming treatment,-0.4999999999999997,0.026782939089772233,Peaking
gentleman facial care,2.5000000000000004,0.09950881999145651,Growing
importance moisturizers,-58.00000000000003,0.01506263229971809,Decaying
masks skin health,-16.0,0.011716479634756163,Decaying
massage,-12.000000000000005,0.03476714972908445,Peaking
mensgrooming beard,4.258393406133884e-16,0.03007012867785126,Growing
moisturizers,36.50000000000001,0.016762600000094732,Emerging
nose contouring,-0.9999999999999996,0.020995386675550412,Decaying
overnight masks,-25.999999999999993,0.01098220682903193,Decaying
permanent straightening,-0.9999999999999997,0.06351539463639996,Peaking
power facial,-2.499999999999999,0.01509253902246461,Decaying
power facial toners,-136.49999999999994,0.015204893102510704,Decaying
preparing eyebrows eyelids,-2.0423860530018709e-16,0.020190198911712788,Decaying
rosacea managing soothing,-99.00000000000001,0.009686717224245625,Decaying
routine shaved,-0.5000000000000002,0.0376605417627434,Peaking
sagging skin,-2.5,0.028183826923374847,Peaking
shaving,-0.49999999999999956,0.04280839318396168,Peaking
strengthen facial,-7.999999999999999,0.016642356727528854,Decaying
strengthening nourishing,-14.000000000000002,0.02027420847590588,Decaying
surgery,-1.4999999999999998,0.030743784817878945,Peaking
treating acne,-18.500000000000007,0.02801511950912803,Peaking
treatments,-0.4999999999999997,0.026782939089772233,Peaking
yoga,185.00000000000114,0.033051820803347995,Growing
yoga strengthen,-7.999999999999999,0.016642356727528854,Decaying
yoga wrinkles,5.500000000000005,0.026119238956102037,Growing
