keyword,velocity,engagement_rate,phase
balayage,-47.500000000000014,0.0372034142346794,Decaying
beauty,-53.00000000000007,0.041547832432991025,Decaying
blush,-54.50000000000049,0.04841914629408207,Peaking
bronzer,-41.499999999999524,0.05387037209344642,Peaking
brows,-27.99999999999961,0.029952207025619217,Decaying
concealer,-25.99999999999979,0.036435914933408704,Decaying
contour,-9.500000000000018,0.05144452271993284,Peaking
curls,-34.50000000000005,0.04622693099877911,Peaking
extensions,-14.500000000000007,0.025531147609693564,Decaying
face,-79.00000000000003,0.044131724484960534,Peaking
fashion,-12.499999999999998,0.04457390708980109,Peaking
glow,-57.500000000000036,0.040576725657779776,Decaying
grwm,-49.00000000000078,0.06354425243516361,Peaking
hairstyles,-19.499999999999964,0.03945334912773215,Decaying
lip,-124.50000000000013,0.04221292454674388,Decaying
makeup,-452.00000000000017,0.058795637247838414,Peaking
mask,-17.0,0.057082795894468186,Peaking
no,-504.50000000000017,0.04526354410666771,Peaking
perfume,-35.999999999999915,0.04484513025009275,Peaking
salon,-28.500000000000053,0.03914282053070078,Decaying
serum,-22.999999999999538,0.03805057769879838,Decaying
shorts,-114.49999999999692,0.043413986983930314,Decaying
smoothing,-12.500000000000185,0.060466675790806626,Peaking
viral,-74.49999999999923,0.049008793555716065,Peaking
wig,-12.499999999999961,0.0378399176204284,Decaying
