keyword,velocity,engagement_rate,phase
amazing global hair,1.999999999999999,0.015975849284581282,Emerging
beautiful hair,-1.4999999999999962,0.046923501936441715,Peaking
besthaircolor,-3.0000000000000027,0.05253510387308095,Peaking
bleach hair,5.500000000000002,0.033229338663395766,Emerging
blond hairstyle,-0.9999999999999563,0.030489438209037018,Decaying
blonde balayage description,0.49999999999999933,0.022289551054574343,Emerging
blonde hair transformation,-2.500000000000001,0.013953038258203357,Decaying
braids,3.499999999999997,0.02945261231371968,Emerging
color,5.4999999999999085,0.03359657892365836,Emerging
colourtransformation,8.972845624953432e-15,0.04271175625832193,Growing
curly hair,-6.999999999999958,0.03909501721835027,Peaking
diyhairstyle hairstyle,3.0000000000000027,0.027091480477855527,Emerging
glowup transformation,-1.0000000000000007,0.011351264983869775,Decaying
hair balayage,3.5000000000000013,0.030407809805924103,Emerging
hair colour hair,-4.499999999999975,0.03680666186240456,Peaking
hair hair,-34.499999999999886,0.033489314111132346,Decaying
hair highlights,16.500000000000103,0.03943129654599281,Growing
hair journey,1.4999999999999993,0.11497948930918893,Growing
hair smoothing,1.000000000000002,0.033849518154019556,Growing
hair styles,9.00000000000002,0.030933025872338215,Emerging
hair treatment,-8.000000000000025,0.03205192017692845,Decaying
hairgram,-5.999999999999989,0.021430360162129534,Decaying
hairoil,-0.5000000000000079,0.03115423226969233,Decaying
hairstyle tutorial,2.0000000000000004,0.024510949837546675,Emerging
hairstyles,-30.99999999999991,0.03412190973588929,Peaking
hairtransformation,20.00000000000045,0.03538248674790732,Growing
hairtransformation haircolor,-0.5000000000000053,0.03834966703755291,Peaking
hairtreatment haircare,-17.000000000000046,0.03647539146027515,Peaking
highlights base colour,-1.4999999999999996,0.04190655112484501,Peaking
leaveout sewin hairstyle,-1.0,0.04213162402514629,Peaking
mounir transformation haircolor,0.5000000000000009,0.03388501454778459,Growing
natural hair cut,-0.5000000000000031,0.03549622122910435,Peaking
shading,-2.3014214849466187e-17,0.017204946766725692,Decaying
short hair,-15.000000000000155,0.0330482045087933,Decaying
skin transformation,2.0000000000000004,0.0479919375188435,Growing
transform look,-0.49999999999999944,0.014668737461874559,Decaying
transformation,35.99999999999973,0.03685358924153601,Growing
transformation color balayage,3.0,0.03641898519841396,Growing
whitening,-21.500000000000025,0.017219860817231238,Decaying
wig,-15.500000000000092,0.03618379259123108,Peaking
