keyword,velocity,engagement_rate,phase
39,-1.0000000000000004,0.03283022237299303,Decaying
attractive,2.000000000000005,0.05580655594909357,Growing
be,0.0,0.0144927536231884,Decaying
beard,-8.035302660681375e-16,0.07194786054916662,Peaking
centrum,0.0,0.0038560411311053,Decaying
chris,0.0,0.016739203213927,Decaying
eyes,0.0,0.0170215081310121,Decaying
face,1.5727060919767595e-16,0.06021030423007484,Growing
fashion,1.5727060919767595e-16,0.06183052595727819,Growing
glow,-0.49999999999999983,0.0554150057059479,Peaking
glowup,2.3285237506151537e-16,0.0427440000026353,Growing
grooming,0.9999999999999941,0.06218065389906724,Growing
hairstyles,1.2776580090364958e-16,0.018715639067229083,Emerging
look,0.0,0.0353731871241598,Decaying
metrosexual,0.0,0.0276717557251908,Decaying
my,-1.7174655627007033e-16,0.06466473391192241,Peaking
nail,0.9999999999999998,0.017356037615675675,Emerging
no,-0.500000000000001,0.0408508202372153,Peaking
outfit,0.5000000000000002,0.04898514321526772,Growing
shaving,0.9999999999999998,0.036239645345204026,Emerging
shirt,2.5171994467032234e-16,0.09153271600181971,Growing
shorts,0.9999999999999994,0.01344351292927929,Emerging
skin,-2.2509407688337802e-17,0.05503813769242625,Peaking
skincare,-2.500000000000001,0.03550017601191371,Decaying
women,2.0000000000000013,0.05072899401676733,Growing
