keyword,velocity,engagement_rate,phase
amazing haircut girls,2.000000000000001,0.023815223812342638,Emerging
artificial hair,0.5000000000000002,0.019390073207125064,Emerging
bellezza hair treatment,2.000000000000001,0.02041882275597094,Emerging
curlyqueen hairstyles,0.0,0.05092583703899632,Peaking
fuehairrestoration hairlosstreatment hairtransformation,-8.999999999999998,0.0044724162816774495,Decaying
girl permanent hairstraightening,0.0,0.008678859685647133,Decaying
hair care tips,-7.763853913863305e-16,0.04045756624304284,Peaking
hair cuts,2.0553579095097192e-16,0.01705951649843735,Emerging
hair extension chennai,5.026623201264939e-16,0.014592709704844088,Emerging
hair extensions,11.500000000000169,0.02910122501954426,Growing
hair growth,0.49999999999999906,0.017772970024872943,Emerging
hair journey braids,-1.000000000000001,0.028081249649442912,Decaying
hair patch,4.999999999999998,0.009537824504879442,Emerging
hair routine,1.0000000000000002,0.04033226031544165,Growing
hair styling girls,-2.0423860530018709e-16,0.02314451254875522,Decaying
hair transformation hair,1.0000000000000002,0.04955336440192819,Growing
haircut straight,3.5756558488432796e-16,0.031296488772919163,Growing
hairdo hairextensions,0.9999999999999996,0.03549031241119536,Growing
hairgoals haircare hairideas,-3.0000000000000027,0.014218024468511186,Decaying
hairloss,-2.9999999999999987,0.039309744469213516,Peaking
hairstyle airburshmakeup,-5.000000000000001,0.023936504285630763,Decaying
hairstyle hairtransformation,-2.9999999999999947,0.024599311251847302,Decaying
hairstyles longhair,4.500000000000001,0.048081643572985534,Growing
hairstyling expert,-2.5000000000000018,0.04876645748997106,Peaking
hairtheory hairwashing,-3.0000000000000004,0.03088121300978158,Peaking
human hair wigs,-0.5000000000000019,0.034037017574799,Peaking
kashees hair extensions,2.8633876093824733e-17,0.016056966345892206,Emerging
mukeshvelocity hair cut,-0.5000000000000002,0.05678640528837482,Peaking
naturalhaircare hairgrowthjourney,1.5000000000000004,0.03925695200634048,Growing
need humanhair hairextensions,0.5000000000000002,0.03930302488925198,Growing
perfect hair hack,-1.0000000000000007,0.03182990914515817,Peaking
permanent hairextension makeup,3.9999999999999987,0.00859977712066326,Emerging
products hairtok hairtransformation,-0.5000000000000002,0.04795624460517996,Peaking
salon haircare haircuts,3.247487274359881e-16,0.043289833130850185,Growing
sew soft curls,-0.49999999999999944,0.03150872652343194,Peaking
smoothhair straighhair hairstraightening,-4.0,0.019931643289499833,Decaying
smoothing haircut schwarzkopf,1.5000000000000004,0.02034864938640535,Emerging
trending viral hair,-4.5018815376675603e-17,0.03951222606267818,Peaking
viralvideo hairstyle,-4.0,0.005675269734358734,Decaying
ytviral hair,-2.0000000000000004,0.026116542415807405,Decaying
