keyword,velocity,engagement_rate,phase
art,4.499999999999975,0.04886712820313816,Growing
beautiful skin,34.000000000000036,0.03470670210918681,Emerging
beauty makeup,-48.50000000000013,0.051601946788215315,Peaking
beauty skin,-400.9999999999924,0.04940826236049068,Peaking
belle,0.5,0.03785648863794747,Emerging
blush beauty,1.0000000000000013,0.05816583332757025,Growing
bridal makeup,-10.999999999999922,0.059936967216476664,Peaking
business,-85.00000000000051,0.05342294502355426,Peaking
clean,-12.99999999999999,0.044640085210914504,Peaking
cosmetics,-2.335621027917781e-16,0.04004691074485105,Decaying
eyebrows,4.4999999999999805,0.032407819754831146,Emerging
eyeliner eyeshadow,4.63195932429258e-15,0.0504273828147929,Growing
eyes,-41.50000000000001,0.04126304503611319,Peaking
facial,-328.4999999999939,0.049899601657525085,Peaking
fav,-3.500000000000008,0.04058699461726154,Decaying
foundation,-16.50000000000005,0.046105207979644305,Peaking
hair perm,0.49999999999999933,0.029474703196307087,Emerging
hair salon,0.4999999999999978,0.03435098326141579,Emerging
hair stylist,-12.999999999999922,0.037897286322599276,Decaying
hot,-66.5000000000007,0.04225510351110764,Peaking
life,-8.999999999999957,0.04304636503509748,Peaking
lip,-43.99999999999968,0.038205315468159216,Decaying
lipstick,-13.499999999999915,0.03803256278630226,Decaying
make,-6.000000000000021,0.04529386803133476,Peaking
makeup makeuptutorial,-15.999999999999982,0.048553344602760826,Peaking
makeup products,-19.00000000000001,0.046878564719763885,Peaking
makeuplover beauty,-11.500000000000103,0.036849090216014964,Decaying
makeuptutorial makeupforblackwomen glammakeup,-1.5000000000000209,0.03767015008580885,Decaying
mascara,-4.000000000000008,0.03732206182402615,Decaying
mask,-12.499999999999929,0.042594964850243076,Peaking
outfit,-1.7149704810579885e-15,0.03933302752462919,Decaying
perfume,-8.499999999999979,0.04801124525486511,Peaking
powder skin,-11.499999999999927,0.0380346116860045,Decaying
projects,1.500000000000003,0.03132078854361195,Emerging
serum,-19.50000000000002,0.03964602706917518,Decaying
shop,-1.5000000000000036,0.03492002177361132,Decaying
shorts makeup,-0.5000000000000033,0.05864520732061588,Peaking
skin glow,-1.9999999999999911,0.04216593029511523,Peaking
styling,-11.99999999999992,0.038759296391733686,Decaying
tanning,-17.49999999999998,0.03686697969795035,Decaying
