keyword,velocity,engagement_rate,phase
beard styles,-0.4999999999999928,0.03824605609018961,Decaying
fashion short,-1.5000000000000007,0.05044661133345736,Peaking
fashion trending shorts,5.110632036145983e-16,0.021428801017489053,Emerging
hairstyle menshairstylist,0.500000000000001,0.027963552871567487,Emerging
high end men,-3.0000000000000013,0.0041832371613112745,Decaying
jain fashion,-0.4999999999999997,0.052332787792798735,Peaking
men,-5.500000000000054,0.04132082144241351,Peaking
men 39 wig,0.4999999999999995,0.030715651825182728,Emerging
men hair,-3.4999999999999742,0.02581574501287952,Decaying
men hottest,-1.4999999999999996,0.038943518310445555,Peaking
mensgrooming,1.2521541406592657e-15,0.03911263100472408,Growing
menshairstylist,0.5000000000000002,0.03187825720548112,Emerging
mensstyle,-8.265272983342958e-17,0.06759112982049491,Peaking
menswig,0.4999999999999998,0.025027524621132263,Emerging
riddhi siddhi fashion,-3.0000000000000013,0.05044661133345736,Peaking
salon shorts,-2.376567923258657e-16,0.04575898295808574,Peaking
style jumpsuit,-8.265272983342958e-17,0.03288085824033718,Decaying
styles,0.4999999999999998,0.04021535697380312,Growing
styling video men,-4.0,0.029184880264751807,Decaying
wearing,-1.5000000000000007,0.11387628007668371,Peaking
