keyword,velocity,engagement_rate,phase
anti aging face,-11.499999999999938,0.03412407225560406,Peaking
ersas skin care,0.5000000000000008,0.11383944262967331,Growing
hydrated skin,-77.50000000000001,0.015140573480581515,Decaying
keeping skin healthy,-26.000000000000007,0.014578871279296524,Decaying
purify detoxify skin,0.9999999999999991,0.010762903070666751,Emerging
restoring strengthening skin,-37.0,0.011115455707000666,Decaying
science ceramides skincare,0.0,0.008773656623106111,Decaying
sensitiveskin skincare,5.000000000000003,0.009643921043095003,Emerging
skin barrier repair,-32.000000000000014,0.020316008817694013,Decaying
skincare kbeauty koreanskincare,-1.5000000000000002,0.02060112014056839,Peaking
skincare preppygrwm,-2.5000000000000004,0.03538414438853716,Peaking
skincare restoring,-13.0,0.00966598773153099,Decaying
skincare sunscreen,-4.5,0.02060112014056839,Peaking
skincare tips,-5.50000000000008,0.044924042450503646,Peaking
skincare whitening,7.999999999999998,0.01868904639700253,Emerging
skincareroutine,-2.1415619027870552e-14,0.03949265702221849,Peaking
solutions skin concerns,-16.00000000000001,0.01038586195154572,Decaying
unachilenaenuk woman skincare,-1.9999999999999964,0.02303929662488047,Peaking
wrinkles antiaging,-1.499999999999999,0.02667296223216701,Peaking
youthfulskin antiaging,0.49999999999999994,0.02215219863824423,Growing
